"LOCATION_OFFICE","COMPANY_CD","COMPANY_NAME","COMPANY_TYPE","BRAND_NAME","PART_NO","PART_DESCRIPTION","GOOD_STOCK","DEFECTIVE_STOCK","ENGG_GOOD_STOCK","ENGG_DEFECTIVE_STOCK","TOTAL_GOOD_STOCK","TOTAL_DEFECTIVE_STOCK","CUSTOMER_CODE","DIVISION_NAME",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25169470102'","HINGE & BENDED LINK ASSLY-SIG. WHITE-W47","0","0","2","1","2","1","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24194160102'","HINGE ACETAL P500-SIG WH-STYLUS WALL","0","0","1","0","1","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25169250100'","HINGE ASLY F D-25/26 CR.WH D-71 TYPE","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25169470101'","HINGE ASSLY C/WH.W47(BENDING LINK)","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25169490100'","HINGE ASSLY F WALL-49 (23.5MM)REMOTE","0","0","4","0","4","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24141300000'","HINGE AXLE BOLT M8 X 30.5 F STAND-35","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24194710100'","HINGE PP W HINGE BUSH CR.WH.F D-71(20%GF","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24194350701'","HINGE R/BRNZ.FOR STAND-35 (D-71 TYPE)","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24207160106'","HINGE TH.SC.W-43/41/45/13/47)22MM W 6MMI","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24207350700'","HINGE TH.SCREW R/BRNZ.F S-35(M6-22.5MM)","0","0","1","0","1","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25169350710'","HINGE/FORK ASSLY STAND 35 HS W/O BUSH","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25169350701'","HINGE/FORK ASSLY STAND-35 CIVIL W/O BUSH","0","0","0","0","0","0","8201043","Fans",
