"BRAND","PART","DESCRIPTION","PRODUCT","MAPPED_MODEL","MODEL_DESCRIPTION","MAX_USED_QTY","SERVICE_LEVEL","PART_LOCATION","STATUS","LAST_UPDATED_DATE",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135604411012","1400 MM NEW AIR WHITE WITH S/W","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135604412010","1400 MM NEW AIR BROWN W/O REGU","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135604511010","1400 MM NEW HURRICANE WHITE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135604512010","1400 MM NEW HURRICANE BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135605811010","1400 MM SUMMER KING WHITE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135605812010","1400 MM SUMMER KING BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2135605812510","1400 MM SUMMER KING P/IVORY","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135606714910","1400 MM QUASAR METTALIC IVORY","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135606715010","1400 MM QUASAR GOLD DUST","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135606715710","1400 MM QUASAR PEWTER FINISH","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135606715810","1400 MM QUASAR NATURA PEARL","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135606716110","1400 MM QUASAR BRUSHED COPPER","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2135606716210","1400 MM QUASAR BRUSHED BRASS","1","  ","  ","Active","10/07/2022 23:43:08",
